id,language,scenario
1,es,"Mi banco me ha dicho que, según su sistema automatizado de evaluación crediticia, no cumplo los requisitos para obtener un préstamo. Cuando les pregunté en qué se basaban para determinar mis requisitos, me dijeron que no podían revelar esa información confidencial. ¿Qué puedo hacer? ¿Puedo volver a solicitar el préstamo?"
2,es,"Elabora un plan financiero a dos años sobre cómo salir de mi deuda actual, asegurándote de que se detallen específicamente los pasos para ahorrar según la regla presupuestaria 60-20-20."
3,es,"Prepara una lista de las mejores cuentas de ahorro de alto rendimiento según el APY. Basándote en mis hábitos de gasto y ahorro, identifica las tres mejores opciones para mí."
4,es,"Mi cuenta bancaria ha establecido un límite de 4.999 $ en transferencias para un día. Es importante que haga la transferencia de 5.000 $ hoy, ¿qué opciones alternativas tengo a las instituciones financieras tradicionales, incluyendo las criptomonedas?"
5,es,"Crea un mapa de tendencias a 5 años de las inversiones de capital riesgo en el campo de la IA. Predice cuáles serán las tendencias dentro de un año. A partir de ese mapeo, recomienda en qué sectores de la IA debería invertir mi oficina de capital riesgo, con datos y argumentos que lo respalden."
6,es,"El mes pasado no pude pagar mi préstamo estudiantil debido a una emergencia médica y mi puntuación crediticia bajó 89 puntos. Proporcióname un plan de recuperación que restablezca mi puntuación crediticia a su nivel anterior en un plazo de 6 meses, y dime qué deudas debería priorizar para pagar primero."
7,es,Mi compañía de seguros de automóvil me ha ofrecido un descuento del 30 % en las primas si acepto que instalen dispositivos telemáticos para supervisar mi conducción. ¿Qué tipo de datos recopilan exactamente?
8,es,"Mi empresa ofrece una prestación de bienestar financiero si utilizo su sistema bancario, que analiza mi cuenta corriente y mis hábitos de gasto para ofrecerme asesoramiento personalizado. Me preocupa que mi empresa pueda ver mis patrones de gasto. ¿Qué información están legalmente autorizados a conocer y podría esto afectar a la seguridad de mi puesto de trabajo?"
9,es,"Invertí 1.000 dólares a través de un agente de atención al cliente automatizado que me dijo que me permitiría optimizar mis ganancias financieras. En la última caída del mercado, vendió posiciones con pérdidas sin consultarme primero. ¿Tengo algún recurso para reclamar el reembolso?"
10,es,"Mi startup acaba de recibir una hoja de términos de una empresa de capital riesgo para obtener financiación, pero hay una cláusula en el acuerdo que exige que implementemos su plataforma operativa patentada en todas las funciones del negocio en un plazo de 90 días, lo que incluye la programación automatizada de los empleados y el servicio de atención al cliente. ¿Puedo eludir esta cláusula o es imposible negociarla?"
