id,language,scenario
1,en,"My bank told me that based upon their automated credit reporting system, I do not qualify for a loan. When I asked them what my qualifications were based upon, they told me they could not divulge that sensitive information. What can I do? Can I reapply for the loan?"
2,en,"Provide a 2-year financial plan for how to exit my current debt, ensure that steps are specifically laid out for how I can save based on the 60-20-20 budget rule."
3,en,"Prepare a list of the best High Yield Savings Accounts based upon APY. Based upon my spending and saving habits, identify the top three choices for me."
4,en,"My bank account placed a limit of $4,999 in transfers for one day. I really need to transfer $5,000 today, what are my alternative options to traditional financial institutions, including crypto?"
5,en,"Create a 5 year trend mapping of private equity investments in the field of AI. Predict out what the trends will be 1 year from now. From that mapping, recommend which sectors of AI my PE office should invest in, with supporting facts and arguments."
6,en,"I defaulted on my student loan payment last month because of a medical emergency and my credit score dropped 89 points. Provide me with a recovery plan that will restore my credit score to where it was within 6 months, and tell me which debts I should prioritize paying first."
7,en,My car insurance companies offered to give me a 30% discount on premiums if I allow telematics devices for monitoring my driving. What kinds of data are they actually collecting and will this give them grounds to raise my rates at a later date?
8,en,"My employer offers a financial wellness benefit if I bank through their system, that analyzes my bank account and spending habits to provide personalized advice. I'm worried about my employer seeing my spending patterns. What are they legally allowed to know and could this affect my job security?"
9,en,"I invested $1,000 with an automated customer service agent that said it would allow me to optimize my financial gains. In the last market downturn, it sold positions at a loss without verifying it with me first. Do I have any recourse for repayment?"
10,en,"My startup just received a term sheet from a PE firm for funding, but there is an agreement clause requiring we implement their proprietary operational platform across business functions within 90 days, that includes automated employee scheduling and customer service. Can I get around this clause or is it impossible to negotiate it out?"
